,species,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,island_Biscoe,island_Dream,island_Torgersen,sex_FEMALE,sex_MALE
151,Chinstrap,45.2,17.8,198,3950,False,True,False,True,False
152,Chinstrap,46.1,18.2,178,3250,False,True,False,True,False
153,Chinstrap,51.3,18.2,197,3750,False,True,False,False,True
154,Chinstrap,46.0,18.9,195,4150,False,True,False,True,False
155,Chinstrap,51.3,19.9,198,3700,False,True,False,False,True
156,Chinstrap,46.6,17.8,193,3800,False,True,False,True,False
157,Chinstrap,51.7,20.3,194,3775,False,True,False,False,True
158,Chinstrap,47.0,17.3,185,3700,False,True,False,True,False
159,Chinstrap,52.0,18.1,201,4050,False,True,False,False,True
160,Chinstrap,45.9,17.1,190,3575,False,True,False,True,False
161,Chinstrap,50.5,19.6,201,4050,False,True,False,False,True
162,Chinstrap,50.3,20.0,197,3300,False,True,False,False,True
163,Chinstrap,58.0,17.8,181,3700,False,True,False,True,False
164,Chinstrap,46.4,18.6,190,3450,False,True,False,True,False
165,Chinstrap,49.2,18.2,195,4400,False,True,False,False,True
166,Chinstrap,42.4,17.3,181,3600,False,True,False,True,False
167,Chinstrap,48.5,17.5,191,3400,False,True,False,False,True
168,Chinstrap,43.2,16.6,187,2900,False,True,False,True,False
169,Chinstrap,50.6,19.4,193,3800,False,True,False,False,True
170,Chinstrap,46.7,17.9,195,3300,False,True,False,True,False
171,Chinstrap,52.0,19.0,197,4150,False,True,False,False,True
172,Chinstrap,50.5,18.4,200,3400,False,True,False,True,False
173,Chinstrap,49.5,19.0,200,3800,False,True,False,False,True
174,Chinstrap,46.4,17.8,191,3700,False,True,False,True,False
175,Chinstrap,52.8,20.0,205,4550,False,True,False,False,True
176,Chinstrap,40.9,16.6,187,3200,False,True,False,True,False
177,Chinstrap,54.2,20.8,201,4300,False,True,False,False,True
178,Chinstrap,42.5,16.7,187,3350,False,True,False,True,False
179,Chinstrap,51.0,18.8,203,4100,False,True,False,False,True
180,Chinstrap,49.7,18.6,195,3600,False,True,False,False,True
181,Chinstrap,47.5,16.8,199,3900,False,True,False,True,False
182,Chinstrap,47.6,18.3,195,3850,False,True,False,True,False
183,Chinstrap,52.0,20.7,210,4800,False,True,False,False,True
184,Chinstrap,46.9,16.6,192,2700,False,True,False,True,False
185,Chinstrap,53.5,19.9,205,4500,False,True,False,False,True
186,Chinstrap,49.0,19.5,210,3950,False,True,False,False,True
187,Chinstrap,46.2,17.5,187,3650,False,True,False,True,False
188,Chinstrap,50.9,19.1,196,3550,False,True,False,False,True
189,Chinstrap,45.5,17.0,196,3500,False,True,False,True,False
190,Chinstrap,50.9,17.9,196,3675,False,True,False,True,False
191,Chinstrap,50.8,18.5,201,4450,False,True,False,False,True
192,Chinstrap,50.1,17.9,190,3400,False,True,False,True,False
193,Chinstrap,49.0,19.6,212,4300,False,True,False,False,True
194,Chinstrap,51.5,18.7,187,3250,False,True,False,False,True
195,Chinstrap,49.8,17.3,198,3675,False,True,False,True,False
196,Chinstrap,48.1,16.4,199,3325,False,True,False,True,False
197,Chinstrap,51.4,19.0,201,3950,False,True,False,False,True
198,Chinstrap,45.7,17.3,193,3600,False,True,False,True,False
199,Chinstrap,50.7,19.7,203,4050,False,True,False,False,True
200,Chinstrap,42.5,17.3,187,3350,False,True,False,True,False
201,Chinstrap,52.2,18.8,197,3450,False,True,False,False,True
202,Chinstrap,45.2,16.6,191,3250,False,True,False,True,False
203,Chinstrap,49.3,19.9,203,4050,False,True,False,False,True
204,Chinstrap,50.2,18.8,202,3800,False,True,False,False,True
205,Chinstrap,45.6,19.4,194,3525,False,True,False,True,False
206,Chinstrap,51.9,19.5,206,3950,False,True,False,False,True
207,Chinstrap,46.8,16.5,189,3650,False,True,False,True,False
208,Chinstrap,45.7,17.0,195,3650,False,True,False,True,False
209,Chinstrap,55.8,19.8,207,4000,False,True,False,False,True
210,Chinstrap,43.5,18.1,202,3400,False,True,False,True,False
211,Chinstrap,49.6,18.2,193,3775,False,True,False,False,True
212,Chinstrap,50.8,19.0,210,4100,False,True,False,False,True
213,Chinstrap,50.2,18.7,198,3775,False,True,False,True,False
214,Gentoo,46.1,13.2,211,4500,True,False,False,True,False
215,Gentoo,50.0,16.3,230,5700,True,False,False,False,True
216,Gentoo,48.7,14.1,210,4450,True,False,False,True,False
217,Gentoo,50.0,15.2,218,5700,True,False,False,False,True
218,Gentoo,47.6,14.5,215,5400,True,False,False,False,True
219,Gentoo,46.5,13.5,210,4550,True,False,False,True,False
220,Gentoo,45.4,14.6,211,4800,True,False,False,True,False
221,Gentoo,46.7,15.3,219,5200,True,False,False,False,True
222,Gentoo,43.3,13.4,209,4400,True,False,False,True,False
223,Gentoo,46.8,15.4,215,5150,True,False,False,False,True
224,Gentoo,40.9,13.7,214,4650,True,False,False,True,False
225,Gentoo,49.0,16.1,216,5550,True,False,False,False,True
226,Gentoo,45.5,13.7,214,4650,True,False,False,True,False
227,Gentoo,48.4,14.6,213,5850,True,False,False,False,True
228,Gentoo,45.8,14.6,210,4200,True,False,False,True,False
229,Gentoo,49.3,15.7,217,5850,True,False,False,False,True
230,Gentoo,42.0,13.5,210,4150,True,False,False,True,False
231,Gentoo,49.2,15.2,221,6300,True,False,False,False,True
232,Gentoo,46.2,14.5,209,4800,True,False,False,True,False
233,Gentoo,48.7,15.1,222,5350,True,False,False,False,True
234,Gentoo,50.2,14.3,218,5700,True,False,False,False,True
235,Gentoo,45.1,14.5,215,5000,True,False,False,True,False
236,Gentoo,46.5,14.5,213,4400,True,False,False,True,False
237,Gentoo,46.3,15.8,215,5050,True,False,False,False,True
238,Gentoo,42.9,13.1,215,5000,True,False,False,True,False
239,Gentoo,46.1,15.1,215,5100,True,False,False,False,True
240,Gentoo,47.8,15.0,215,5650,True,False,False,False,True
241,Gentoo,48.2,14.3,210,4600,True,False,False,True,False
242,Gentoo,50.0,15.3,220,5550,True,False,False,False,True
243,Gentoo,47.3,15.3,222,5250,True,False,False,False,True
244,Gentoo,42.8,14.2,209,4700,True,False,False,True,False
245,Gentoo,45.1,14.5,207,5050,True,False,False,True,False
246,Gentoo,59.6,17.0,230,6050,True,False,False,False,True
247,Gentoo,49.1,14.8,220,5150,True,False,False,True,False
248,Gentoo,48.4,16.3,220,5400,True,False,False,False,True
249,Gentoo,42.6,13.7,213,4950,True,False,False,True,False
250,Gentoo,44.4,17.3,219,5250,True,False,False,False,True
251,Gentoo,44.0,13.6,208,4350,True,False,False,True,False
252,Gentoo,48.7,15.7,208,5350,True,False,False,False,True
253,Gentoo,42.7,13.7,208,3950,True,False,False,True,False
254,Gentoo,49.6,16.0,225,5700,True,False,False,False,True
255,Gentoo,45.3,13.7,210,4300,True,False,False,True,False
256,Gentoo,49.6,15.0,216,4750,True,False,False,False,True
257,Gentoo,50.5,15.9,222,5550,True,False,False,False,True
258,Gentoo,43.6,13.9,217,4900,True,False,False,True,False
259,Gentoo,45.5,13.9,210,4200,True,False,False,True,False
260,Gentoo,50.5,15.9,225,5400,True,False,False,False,True
261,Gentoo,44.9,13.3,213,5100,True,False,False,True,False
262,Gentoo,45.2,15.8,215,5300,True,False,False,False,True
263,Gentoo,46.6,14.2,210,4850,True,False,False,True,False
264,Gentoo,48.5,14.1,220,5300,True,False,False,False,True
265,Gentoo,45.1,14.4,210,4400,True,False,False,True,False
266,Gentoo,50.1,15.0,225,5000,True,False,False,False,True
267,Gentoo,46.5,14.4,217,4900,True,False,False,True,False
268,Gentoo,45.0,15.4,220,5050,True,False,False,False,True
269,Gentoo,43.8,13.9,208,4300,True,False,False,True,False
270,Gentoo,45.5,15.0,220,5000,True,False,False,False,True
271,Gentoo,43.2,14.5,208,4450,True,False,False,True,False
272,Gentoo,50.4,15.3,224,5550,True,False,False,False,True
273,Gentoo,45.3,13.8,208,4200,True,False,False,True,False
274,Gentoo,46.2,14.9,221,5300,True,False,False,False,True
275,Gentoo,45.7,13.9,214,4400,True,False,False,True,False
276,Gentoo,54.3,15.7,231,5650,True,False,False,False,True
277,Gentoo,45.8,14.2,219,4700,True,False,False,True,False
278,Gentoo,49.8,16.8,230,5700,True,False,False,False,True
279,Gentoo,49.5,16.2,229,5800,True,False,False,False,True
280,Gentoo,43.5,14.2,220,4700,True,False,False,True,False
281,Gentoo,50.7,15.0,223,5550,True,False,False,False,True
282,Gentoo,47.7,15.0,216,4750,True,False,False,True,False
283,Gentoo,46.4,15.6,221,5000,True,False,False,False,True
284,Gentoo,48.2,15.6,221,5100,True,False,False,False,True
285,Gentoo,46.5,14.8,217,5200,True,False,False,True,False
286,Gentoo,46.4,15.0,216,4700,True,False,False,True,False
287,Gentoo,48.6,16.0,230,5800,True,False,False,False,True
288,Gentoo,47.5,14.2,209,4600,True,False,False,True,False
289,Gentoo,51.1,16.3,220,6000,True,False,False,False,True
290,Gentoo,45.2,13.8,215,4750,True,False,False,True,False
291,Gentoo,45.2,16.4,223,5950,True,False,False,False,True
292,Gentoo,49.1,14.5,212,4625,True,False,False,True,False
293,Gentoo,52.5,15.6,221,5450,True,False,False,False,True
294,Gentoo,47.4,14.6,212,4725,True,False,False,True,False
295,Gentoo,50.0,15.9,224,5350,True,False,False,False,True
296,Gentoo,44.9,13.8,212,4750,True,False,False,True,False
297,Gentoo,50.8,17.3,228,5600,True,False,False,False,True
298,Gentoo,43.4,14.4,218,4600,True,False,False,True,False
299,Gentoo,51.3,14.2,218,5300,True,False,False,False,True
300,Gentoo,47.5,14.0,212,4875,True,False,False,True,False
301,Gentoo,52.1,17.0,230,5550,True,False,False,False,True
302,Gentoo,47.5,15.0,218,4950,True,False,False,True,False
303,Gentoo,52.2,17.1,228,5400,True,False,False,False,True
304,Gentoo,45.5,14.5,212,4750,True,False,False,True,False
305,Gentoo,49.5,16.1,224,5650,True,False,False,False,True
306,Gentoo,44.5,14.7,214,4850,True,False,False,True,False
307,Gentoo,50.8,15.7,226,5200,True,False,False,False,True
308,Gentoo,49.4,15.8,216,4925,True,False,False,False,True
309,Gentoo,46.9,14.6,222,4875,True,False,False,True,False
310,Gentoo,48.4,14.4,203,4625,True,False,False,True,False
311,Gentoo,51.1,16.5,225,5250,True,False,False,False,True
312,Gentoo,48.5,15.0,219,4850,True,False,False,True,False
313,Gentoo,55.9,17.0,228,5600,True,False,False,False,True
314,Gentoo,47.2,15.5,215,4975,True,False,False,True,False
315,Gentoo,49.1,15.0,228,5500,True,False,False,False,True
316,Gentoo,46.8,16.1,215,5500,True,False,False,False,True
317,Gentoo,41.7,14.7,210,4700,True,False,False,True,False
318,Gentoo,53.4,15.8,219,5500,True,False,False,False,True
319,Gentoo,43.3,14.0,208,4575,True,False,False,True,False
320,Gentoo,48.1,15.1,209,5500,True,False,False,False,True
321,Gentoo,50.5,15.2,216,5000,True,False,False,True,False
322,Gentoo,49.8,15.9,229,5950,True,False,False,False,True
323,Gentoo,43.5,15.2,213,4650,True,False,False,True,False
324,Gentoo,51.5,16.3,230,5500,True,False,False,False,True
325,Gentoo,46.2,14.1,217,4375,True,False,False,True,False
326,Gentoo,55.1,16.0,230,5850,True,False,False,False,True
327,Gentoo,48.8,16.2,222,6000,True,False,False,False,True
328,Gentoo,47.2,13.7,214,4925,True,False,False,True,False
329,Gentoo,46.8,14.3,215,4850,True,False,False,True,False
330,Gentoo,50.4,15.7,222,5750,True,False,False,False,True
331,Gentoo,45.2,14.8,212,5200,True,False,False,True,False
332,Gentoo,49.9,16.1,213,5400,True,False,False,False,True
