,Type,LongestShell,Diameter,Height,WholeWeight,ShuckedWeight,VisceraWeight,ShellWeight,Rings
29,2,0.42,0.34,0.125,0.4495,0.165,0.1125,0.144,11
30,2,0.665,0.535,0.225,2.1835,0.7535,0.391,0.885,27
31,2,0.615,0.47,0.175,1.242,0.5675,0.287,0.317,11
32,1,0.47,0.375,0.12,0.487,0.196,0.099,0.135,8
33,0,0.63,0.495,0.2,1.4255,0.659,0.336,0.38,11
34,2,0.575,0.45,0.16,0.955,0.44,0.1685,0.27,16
35,2,0.295,0.225,0.09,0.1385,0.048,0.046,0.05,9
36,1,0.46,0.345,0.11,0.3755,0.1525,0.0579999999999999,0.125,7
37,2,0.4,0.32,0.095,0.303,0.1335,0.06,0.1,7
38,0,0.58,0.43,0.17,1.48,0.6535,0.324,0.4155,10
39,1,0.245,0.18,0.065,0.071,0.03,0.013,0.0215,4
40,2,0.74,0.535,0.185,1.65,0.7340000000000001,0.4505,0.335,13
41,0,0.53,0.41,0.165,0.8115,0.24,0.1689999999999999,0.24,19
42,1,0.54,0.42,0.14,0.7265,0.3205,0.1445,0.2289999999999999,9
43,0,0.455,0.35,0.12,0.4555,0.1945,0.1045,0.1375,7
44,0,0.47,0.355,0.14,0.433,0.1525,0.095,0.152,12
45,0,0.43,0.35,0.09,0.397,0.1575,0.089,0.12,9
46,2,0.65,0.51,0.175,1.3165,0.6345,0.2605,0.364,12
47,0,0.49,0.37,0.115,0.541,0.171,0.1175,0.185,11
48,1,0.41,0.315,0.1,0.3,0.124,0.0575,0.1,8
49,2,0.455,0.35,0.105,0.401,0.1575,0.083,0.135,9
50,0,0.53,0.4,0.165,0.772,0.2855,0.1975,0.23,12
51,1,0.505,0.355,0.125,0.601,0.25,0.1205,0.185,8
52,1,0.19,0.14,0.03,0.0315,0.0125,0.005,0.0105,3
53,0,0.595,0.465,0.15,1.0255,0.412,0.2745,0.289,11
54,1,0.355,0.265,0.085,0.2435,0.122,0.0525,0.06,6
55,0,0.465,0.39,0.14,0.5555,0.213,0.1075,0.215,15
56,0,0.705,0.57,0.185,1.761,0.747,0.3725,0.488,10
57,2,0.35,0.265,0.11,0.2965,0.1365,0.063,0.085,7
58,0,0.49,0.365,0.145,0.6345,0.1995,0.1625,0.22,10
59,1,0.295,0.215,0.07,0.121,0.047,0.0155,0.0405,6
60,1,0.285,0.215,0.06,0.0935,0.031,0.023,0.03,6
61,2,0.18,0.125,0.05,0.023,0.0085,0.0055,0.01,3
62,2,0.515,0.39,0.155,0.7125,0.3695,0.1369999999999999,0.155,7
63,1,0.475,0.355,0.125,0.4865,0.2155,0.1105,0.142,9
64,1,0.255,0.19,0.075,0.0865,0.0345,0.0205,0.025,5
65,2,0.45,0.355,0.12,0.3955,0.147,0.0765,0.145,9
66,0,0.585,0.46,0.17,1.0835,0.3745,0.326,0.325,14
67,1,0.6,0.475,0.15,1.12,0.565,0.2465,0.27,10
68,1,0.485,0.38,0.12,0.4725,0.2075,0.1075,0.147,6
69,2,0.66,0.53,0.17,1.3905,0.5905,0.212,0.4529999999999999,15
70,2,0.67,0.525,0.165,1.6085,0.682,0.3145,0.4005,11
71,0,0.705,0.55,0.17,1.219,0.6395,0.236,0.301,9
72,2,0.53,0.425,0.13,0.7455,0.2995,0.1355,0.245,10
73,1,0.295,0.22,0.07,0.126,0.0515,0.0275,0.035,6
74,2,0.66,0.545,0.185,1.32,0.5305,0.2635,0.455,16
75,0,0.49,0.38,0.155,0.578,0.2395,0.1255,0.18,9
76,0,0.61,0.485,0.165,1.0915,0.3935,0.2435,0.33,18
77,0,0.62,0.51,0.18,1.3315,0.594,0.276,0.3879999999999999,11
78,1,0.475,0.365,0.12,0.53,0.2505,0.0975,0.1625,10
79,1,0.37,0.28,0.085,0.198,0.0805,0.0455,0.0579999999999999,5
80,1,0.365,0.275,0.09,0.2345,0.108,0.051,0.0625,7
81,1,0.47,0.355,0.125,0.499,0.21,0.0985,0.155,8
82,0,0.47,0.355,0.13,0.5465,0.2005,0.126,0.185,14
83,2,0.47,0.37,0.13,0.5225,0.201,0.133,0.165,7
84,1,0.38,0.285,0.09,0.2305,0.1005,0.039,0.0775,7
85,0,0.6,0.45,0.14,0.8690000000000001,0.3425,0.195,0.291,11
86,2,0.445,0.32,0.12,0.414,0.1989999999999999,0.09,0.1169999999999999,7
87,1,0.475,0.35,0.12,0.4905,0.2035,0.13,0.135,7
88,2,0.595,0.485,0.15,1.0835,0.5305,0.231,0.276,8
89,0,0.585,0.445,0.14,0.913,0.4305,0.2205,0.253,10
90,2,0.56,0.44,0.16,0.8645,0.3305,0.2075,0.26,10
91,2,0.65,0.525,0.185,1.3455,0.586,0.278,0.3865,9
92,0,0.55,0.41,0.145,0.8285,0.3095,0.1905,0.25,13
93,1,0.525,0.4,0.13,0.6445,0.345,0.1285,0.2,8
94,1,0.46,0.35,0.11,0.4,0.176,0.083,0.1205,7
95,0,0.605,0.495,0.17,1.0915,0.4365,0.2715,0.335,13
96,2,0.575,0.44,0.16,0.9615,0.483,0.166,0.275,13
97,2,0.535,0.42,0.13,0.8055,0.301,0.181,0.28,14
98,0,0.455,0.35,0.14,0.5185,0.221,0.1265,0.135,10
99,0,0.675,0.525,0.155,1.4785,0.628,0.3405,0.42,9
100,1,0.565,0.43,0.125,0.6545,0.2815,0.139,0.21,9
101,2,0.685,0.545,0.205,1.7925,0.8145,0.416,0.461,9
102,0,0.605,0.465,0.155,1.1,0.547,0.2665,0.2585,10
103,2,0.595,0.47,0.15,0.8915,0.359,0.2105,0.245,12
104,1,0.2,0.145,0.06,0.037,0.0125,0.0095,0.011,4
105,2,0.66,0.525,0.2,1.489,0.6065,0.3795,0.421,10
106,0,0.575,0.42,0.135,0.857,0.461,0.147,0.2125,10
107,0,0.41,0.315,0.11,0.321,0.1255,0.0655,0.095,10
108,2,0.455,0.35,0.11,0.4579999999999999,0.2,0.111,0.1305,8
109,2,0.55,0.425,0.155,0.9175,0.2775,0.243,0.335,13
110,0,0.58,0.435,0.155,0.8785,0.425,0.1685,0.2425,10
111,2,0.6,0.46,0.17,1.1805,0.456,0.337,0.3289999999999999,11
112,2,0.385,0.285,0.105,0.2905,0.1215,0.0685,0.0875,12
113,1,0.32,0.235,0.065,0.1385,0.0579999999999999,0.0225,0.05,5
114,0,0.605,0.475,0.145,1.0185,0.4695,0.225,0.27,15
115,0,0.545,0.415,0.16,0.7715,0.272,0.1455,0.2765,10
116,2,0.62,0.47,0.135,1.0195,0.5315,0.2005,0.2475,8
117,1,0.53,0.42,0.13,0.8365,0.3745,0.1669999999999999,0.249,11
118,2,0.575,0.45,0.155,0.9765,0.495,0.2145,0.235,9
119,2,0.62,0.46,0.16,0.9505,0.4915,0.2,0.228,9
120,0,0.68,0.505,0.17,1.3435,0.657,0.297,0.355,12
121,2,0.645,0.51,0.16,1.1835,0.556,0.2385,0.345,11
122,2,0.65,0.51,0.19,1.5419999999999998,0.7155,0.3735,0.375,9
123,0,0.515,0.415,0.13,0.764,0.276,0.196,0.25,13
124,0,0.63,0.5,0.185,1.383,0.54,0.3315,0.38,10
125,1,0.31,0.225,0.075,0.155,0.065,0.037,0.0365,6
126,0,0.435,0.335,0.11,0.38,0.1695,0.086,0.11,9
127,0,0.53,0.43,0.17,0.775,0.35,0.152,0.235,17
128,1,0.535,0.415,0.15,0.5765,0.3595,0.135,0.225,8
129,2,0.515,0.395,0.12,0.6459999999999999,0.285,0.1365,0.172,9
130,0,0.71,0.565,0.195,1.817,0.785,0.492,0.49,11
131,2,0.61,0.485,0.175,1.2445,0.544,0.297,0.345,12
132,2,0.585,0.465,0.16,0.9555,0.4595,0.236,0.265,7
133,1,0.525,0.405,0.145,0.6965,0.3045,0.1535,0.21,8
134,1,0.425,0.31,0.09,0.301,0.1385,0.065,0.08,7
135,1,0.515,0.42,0.135,0.711,0.337,0.144,0.205,13
136,2,0.625,0.48,0.18,1.223,0.565,0.2975,0.3375,10
137,0,0.645,0.49,0.215,1.406,0.4265,0.2285,0.51,25
138,2,0.665,0.525,0.175,1.443,0.6635,0.3845,0.353,11
139,2,0.665,0.515,0.165,1.3855,0.621,0.302,0.3445,8
140,2,0.355,0.265,0.085,0.201,0.069,0.053,0.0695,8
141,2,0.31,0.22,0.085,0.146,0.061,0.0365,0.045,6
142,1,0.55,0.45,0.14,0.753,0.3445,0.1325,0.24,8
143,0,0.58,0.46,0.185,1.017,0.3515,0.2,0.32,10
144,0,0.625,0.49,0.155,1.115,0.484,0.2769999999999999,0.3095,9
145,2,0.6,0.47,0.16,1.194,0.5625,0.3045,0.2635,10
146,0,0.415,0.34,0.13,0.3675,0.146,0.0885,0.12,10
147,2,0.51,0.415,0.14,0.8185,0.3025,0.2155,0.235,16
148,1,0.325,0.245,0.075,0.1495,0.0605,0.033,0.045,5
149,2,0.615,0.47,0.145,1.0285,0.4435,0.2825,0.285,11
150,0,0.41,0.32,0.115,0.387,0.165,0.1005,0.0985,11
151,0,0.59,0.475,0.16,1.1015,0.4775,0.2555,0.295,13
152,1,0.335,0.245,0.09,0.2015,0.096,0.0405,0.048,7
153,2,0.35,0.26,0.09,0.198,0.0725,0.0559999999999999,0.06,10
154,2,0.625,0.47,0.18,1.136,0.451,0.3245,0.305,11
155,2,0.625,0.495,0.155,1.0485,0.487,0.212,0.3215,11
156,1,0.455,0.345,0.11,0.434,0.207,0.0855,0.1215,8
157,1,0.455,0.435,0.11,0.4265,0.195,0.09,0.1205,8
158,1,0.46,0.35,0.12,0.4885,0.193,0.105,0.155,11
159,2,0.69,0.55,0.2,1.8465,0.732,0.472,0.57,19
160,0,0.61,0.45,0.16,1.136,0.414,0.311,0.3,9
161,0,0.695,0.56,0.22,1.834,0.8455,0.422,0.455,11
162,1,0.455,0.335,0.135,0.501,0.2739999999999999,0.0995,0.1065,7
163,1,0.455,0.345,0.105,0.4005,0.1639999999999999,0.0755,0.126,8
164,2,0.66,0.51,0.18,1.261,0.5,0.2335,0.3389999999999999,10
165,2,0.575,0.48,0.15,0.9465,0.4355,0.2605,0.2505,9
166,2,0.585,0.45,0.15,1.047,0.4315,0.276,0.315,14
167,0,0.66,0.525,0.18,1.5965,0.7765,0.397,0.3605,10
168,1,0.46,0.345,0.12,0.4155,0.198,0.0885,0.107,7
169,2,0.545,0.44,0.165,0.7440000000000001,0.2875,0.204,0.25,15
170,2,0.745,0.585,0.215,2.499,0.9265,0.472,0.7,17
171,0,0.655,0.505,0.195,1.4405,0.688,0.3805,0.363,11
172,2,0.46,0.34,0.135,0.495,0.1655,0.1169999999999999,0.185,10
173,1,0.475,0.365,0.105,0.4175,0.1645,0.099,0.127,7
174,0,0.445,0.335,0.14,0.4565,0.1785,0.114,0.14,11
175,0,0.385,0.3,0.1,0.2725,0.1115,0.057,0.08,6
176,1,0.435,0.325,0.1,0.342,0.1335,0.0835,0.105,6
177,2,0.545,0.42,0.14,0.7505,0.2475,0.13,0.255,22
178,0,0.475,0.38,0.135,0.486,0.1735,0.07,0.185,7
179,1,0.385,0.29,0.09,0.2615,0.111,0.0595,0.0745,9
180,2,0.375,0.29,0.1,0.276,0.1175,0.0565,0.085,9
181,2,0.555,0.44,0.135,0.9025,0.3805,0.2105,0.28,13
182,0,0.67,0.54,0.165,1.5015,0.518,0.358,0.505,14
183,0,0.6,0.475,0.18,1.162,0.511,0.2675,0.32,18
184,1,0.295,0.215,0.075,0.1159999999999999,0.037,0.0295,0.04,8
185,2,0.415,0.345,0.135,0.3865,0.128,0.07,0.148,13
186,2,0.57,0.45,0.155,1.195,0.5625,0.2565,0.295,10
187,1,0.495,0.37,0.125,0.4715,0.2075,0.091,0.15,8
188,1,0.45,0.34,0.125,0.4045,0.171,0.07,0.1345,8
189,1,0.58,0.445,0.15,0.8865,0.3829999999999999,0.209,0.255,11
190,2,0.655,0.485,0.195,1.62,0.6275,0.358,0.485,17
191,2,0.665,0.515,0.19,1.6385,0.831,0.3575,0.371,11
192,0,0.375,0.29,0.115,0.2705,0.093,0.066,0.0885,10
193,1,0.375,0.29,0.1,0.2189999999999999,0.0925,0.038,0.075,6
194,0,0.69,0.55,0.18,1.659,0.8715,0.2655,0.4395,9
195,2,0.535,0.42,0.125,0.764,0.312,0.1505,0.265,11
196,2,0.595,0.465,0.125,0.799,0.3245,0.2,0.23,10
197,1,0.505,0.4,0.145,0.7045,0.3339999999999999,0.1425,0.207,8
198,1,0.46,0.36,0.1,0.4635,0.2325,0.093,0.115,7
199,2,0.625,0.49,0.185,1.169,0.5275,0.2535,0.344,11
200,0,0.595,0.46,0.14,1.0045,0.4655,0.2095,0.2515,9
201,2,0.395,0.28,0.08,0.266,0.0995,0.066,0.09,12
202,0,0.675,0.535,0.185,1.5575,0.7035,0.402,0.4,11
203,2,0.425,0.33,0.13,0.4405,0.152,0.0935,0.155,9
204,0,0.605,0.495,0.19,1.4369999999999998,0.469,0.2655,0.41,15
205,0,0.64,0.475,0.19,1.151,0.4365,0.281,0.3805,13
206,2,0.54,0.435,0.14,0.7345,0.33,0.1595,0.213,9
207,0,0.58,0.44,0.18,0.8540000000000001,0.3665,0.1635,0.245,12
208,2,0.625,0.47,0.145,1.7855,0.675,0.247,0.3245,13
209,2,0.545,0.41,0.12,0.7929999999999999,0.434,0.1405,0.19,9
210,1,0.475,0.36,0.135,0.4355,0.196,0.0925,0.125,8
211,0,0.67,0.525,0.19,1.527,0.5755,0.353,0.44,12
212,2,0.52,0.415,0.175,0.753,0.258,0.171,0.255,8
213,1,0.575,0.44,0.15,0.983,0.486,0.215,0.239,8
214,1,0.56,0.425,0.135,0.8205,0.3715,0.185,0.236,9
215,1,0.315,0.23,0.07,0.1145,0.046,0.0235,0.0385,5
216,2,0.6,0.45,0.16,1.142,0.539,0.225,0.307,10
217,1,0.43,0.34,0.0,0.428,0.2065,0.086,0.115,8
218,2,0.44,0.35,0.14,0.451,0.171,0.0705,0.184,16
219,0,0.7,0.525,0.19,1.6015,0.7070000000000001,0.365,0.43,10
220,2,0.44,0.32,0.12,0.4565,0.2435,0.092,0.1025,8
221,0,0.29,0.225,0.075,0.14,0.0515,0.0235,0.04,5
222,1,0.525,0.4,0.125,0.5655,0.2435,0.119,0.175,8
223,0,0.63,0.5,0.17,1.3135,0.5595,0.267,0.4,20
224,0,0.58,0.46,0.12,0.9935,0.4625,0.2385,0.28,11
225,2,0.59,0.46,0.145,0.929,0.38,0.24,0.255,10
226,1,0.36,0.27,0.085,0.2185,0.1065,0.038,0.062,6
227,0,0.505,0.38,0.135,0.6855,0.361,0.1565,0.161,9
228,0,0.535,0.405,0.125,0.927,0.26,0.1425,0.345,16
229,0,0.475,0.35,0.115,0.452,0.1715,0.092,0.155,11
230,2,0.5,0.405,0.14,0.6155,0.241,0.1355,0.205,9
231,1,0.615,0.475,0.13,0.8425,0.353,0.1915,0.251,8
232,2,0.61,0.475,0.155,1.168,0.5539999999999999,0.239,0.3295,10
233,1,0.48,0.355,0.11,0.4495,0.201,0.089,0.14,8
234,2,0.56,0.44,0.16,1.1115,0.5035,0.2785,0.26,10
235,2,0.65,0.515,0.175,1.466,0.677,0.3045,0.4,10
236,0,0.515,0.39,0.13,0.5755,0.1975,0.13,0.1845,9
237,2,0.585,0.49,0.185,1.171,0.522,0.2535,0.335,10
238,2,0.52,0.385,0.115,0.669,0.2385,0.172,0.205,12
239,0,0.53,0.41,0.13,0.6965,0.302,0.1935,0.2,10
240,0,0.48,0.375,0.105,0.525,0.2185,0.1195,0.155,12
241,0,0.54,0.415,0.175,0.8975,0.275,0.241,0.275,14
242,0,0.735,0.6,0.22,2.555,1.1335,0.44,0.6,11
243,1,0.515,0.415,0.135,0.7125,0.285,0.152,0.245,10
244,1,0.44,0.345,0.12,0.487,0.1965,0.108,0.16,14
245,2,0.575,0.435,0.135,0.992,0.432,0.2225,0.239,10
246,0,0.595,0.47,0.165,1.0155,0.491,0.1905,0.289,9
247,0,0.54,0.42,0.145,0.8655,0.4315,0.163,0.2175,10
248,2,0.535,0.42,0.15,0.6995,0.2575,0.153,0.24,12
249,2,0.6,0.475,0.15,1.089,0.5195,0.223,0.292,11
250,0,0.57,0.465,0.18,0.9995,0.405,0.2769999999999999,0.295,16
251,2,0.63,0.49,0.155,1.2525,0.63,0.246,0.289,9
252,1,0.5,0.37,0.12,0.5445,0.249,0.1065,0.152,8
253,2,0.6,0.465,0.165,1.038,0.4975,0.2205,0.251,9
254,2,0.575,0.455,0.165,0.867,0.3765,0.1805,0.268,8
255,0,0.275,0.195,0.07,0.08,0.031,0.0215,0.025,5
256,2,0.49,0.39,0.14,0.7070000000000001,0.2795,0.2185,0.18,13
257,1,0.28,0.215,0.07,0.124,0.063,0.0215,0.03,6
258,1,0.45,0.355,0.12,0.412,0.1145,0.0665,0.16,19
259,2,0.625,0.48,0.185,1.2065,0.5870000000000001,0.29,0.286,8
260,1,0.45,0.355,0.105,0.4445,0.1969999999999999,0.093,0.1335,8
261,0,0.485,0.365,0.12,0.5885,0.27,0.131,0.175,9
262,2,0.58,0.465,0.175,1.035,0.401,0.1865,0.385,17
263,1,0.32,0.24,0.075,0.1735,0.076,0.0355,0.05,7
264,1,0.355,0.26,0.09,0.1985,0.0715,0.0495,0.0579999999999999,7
265,2,0.6,0.465,0.165,1.0475,0.465,0.2345,0.315,11
266,2,0.635,0.51,0.21,1.598,0.6535,0.2835,0.58,15
267,1,0.325,0.24,0.075,0.1525,0.072,0.0645,0.043,6
268,1,0.455,0.37,0.125,0.433,0.201,0.1265,0.145,9
269,1,0.335,0.245,0.09,0.1665,0.0595,0.04,0.06,6
270,2,0.445,0.345,0.14,0.476,0.2055,0.1015,0.1085,15
271,1,0.22,0.16,0.05,0.049,0.0215,0.01,0.015,4
272,1,0.49,0.375,0.125,0.5445,0.2789999999999999,0.115,0.13,8
273,0,0.715,0.525,0.185,1.56,0.6655,0.3829999999999999,0.405,11
274,2,0.505,0.365,0.115,0.521,0.25,0.096,0.15,8
275,0,0.6,0.465,0.165,0.8875,0.309,0.246,0.262,12
276,0,0.68,0.51,0.2,1.6075,0.7140000000000001,0.3389999999999999,0.4705,11
277,0,0.655,0.51,0.155,1.2895,0.5345,0.2855,0.41,11
278,2,0.585,0.46,0.165,1.1135,0.5825,0.2345,0.2739999999999999,10
279,2,0.605,0.475,0.175,1.2009999999999998,0.5395,0.275,0.309,10
280,0,0.615,0.475,0.155,1.027,0.447,0.25,0.285,9
281,1,0.415,0.325,0.1,0.3335,0.1445,0.0715,0.095,7
282,0,0.58,0.45,0.15,0.92,0.3929999999999999,0.212,0.2895,9
283,0,0.58,0.455,0.155,0.8365,0.315,0.1385,0.32,18
284,1,0.35,0.255,0.09,0.1785,0.0855,0.0305,0.0525,8
285,2,0.63,0.515,0.175,1.1955,0.492,0.247,0.37,11
286,2,0.625,0.49,0.165,1.1165,0.4895,0.2615,0.3325,11
287,0,0.53,0.42,0.135,0.677,0.2565,0.1415,0.21,9
288,2,0.61,0.47,0.16,1.022,0.449,0.2345,0.2945,9
289,1,0.515,0.385,0.125,0.6115,0.3175,0.1265,0.15,8
290,2,0.475,0.385,0.145,0.6175,0.235,0.108,0.215,14
291,0,0.47,0.36,0.1,0.4705,0.1635,0.089,0.1385,8
292,1,0.375,0.28,0.085,0.3155,0.187,0.046,0.067,7
293,2,0.58,0.47,0.165,0.9975,0.3935,0.242,0.33,10
294,2,0.645,0.525,0.16,1.5075,0.7455,0.245,0.4325,11
295,1,0.42,0.325,0.125,0.3915,0.1575,0.1025,0.115,9
296,1,0.385,0.3,0.095,0.302,0.152,0.0615,0.0735,7
297,2,0.38,0.235,0.1,0.258,0.1055,0.054,0.08,7
298,1,0.62,0.485,0.18,1.154,0.4935,0.256,0.315,12
299,0,0.41,0.305,0.1,0.363,0.1735,0.065,0.11,11
300,1,0.43,0.315,0.115,0.384,0.1885,0.0715,0.11,8
301,1,0.49,0.37,0.11,0.5379999999999999,0.271,0.1035,0.139,8
302,2,0.355,0.26,0.085,0.1905,0.081,0.0485,0.055,6
303,2,0.605,0.49,0.18,1.227,0.48,0.287,0.35,18
304,1,0.27,0.205,0.05,0.084,0.03,0.0185,0.0289999999999999,6
305,2,0.665,0.535,0.195,1.606,0.5755,0.3879999999999999,0.48,14
306,0,0.78,0.63,0.215,2.657,1.4880000000000002,0.4985,0.586,11
307,1,0.55,0.425,0.145,0.89,0.4325,0.171,0.236,10
308,2,0.66,0.53,0.195,1.5505,0.6505,0.3295,0.495,10
309,1,0.435,0.375,0.11,0.4155,0.17,0.076,0.145,8
310,2,0.36,0.295,0.105,0.241,0.0865,0.053,0.095,8
311,0,0.41,0.325,0.105,0.3635,0.159,0.077,0.12,10
312,2,0.62,0.51,0.175,1.2815,0.5715,0.2385,0.39,10
313,1,0.425,0.33,0.115,0.3265,0.1315,0.077,0.103,6
314,1,0.395,0.295,0.1,0.293,0.14,0.062,0.0819999999999999,7
315,2,0.39,0.3,0.09,0.3055,0.143,0.0645,0.085,9
316,2,0.56,0.43,0.155,0.8675,0.4,0.172,0.2289999999999999,8
317,1,0.385,0.28,0.095,0.257,0.119,0.059,0.07,7
318,0,0.585,0.45,0.16,1.077,0.4995,0.2875,0.25,10
319,0,0.5,0.39,0.13,0.6355,0.2505,0.1635,0.195,15
320,0,0.625,0.49,0.175,1.1075,0.4485,0.2165,0.3595,8
321,2,0.65,0.52,0.21,1.6785,0.6665,0.308,0.46,11
322,0,0.435,0.395,0.105,0.3635,0.136,0.098,0.13,9
323,1,0.42,0.33,0.1,0.352,0.1635,0.089,0.1,9
324,0,0.615,0.52,0.15,1.3435,0.629,0.2605,0.345,10
325,1,0.175,0.125,0.04,0.0279999999999999,0.0095,0.008,0.009,4
326,0,0.66,0.525,0.2,1.463,0.6525,0.2995,0.422,11
327,2,0.525,0.385,0.1,0.5115,0.246,0.1005,0.1455,8
328,0,0.535,0.435,0.16,0.8105,0.3155,0.1795,0.24,10
329,2,0.41,0.3,0.1,0.301,0.124,0.069,0.09,9
330,2,0.52,0.41,0.115,0.77,0.263,0.157,0.26,11
331,1,0.365,0.27,0.075,0.2215,0.095,0.0445,0.07,6
332,0,0.61,0.495,0.19,1.213,0.4639999999999999,0.306,0.365,15
333,1,0.52,0.395,0.135,0.633,0.2985,0.1295,0.175,9
334,0,0.7,0.55,0.17,1.6840000000000002,0.7535,0.3265,0.32,11
335,0,0.595,0.465,0.15,1.0765,0.491,0.22,0.287,9
336,2,0.5,0.38,0.135,0.5835,0.2295,0.1265,0.18,12
337,2,0.345,0.27,0.095,0.1969999999999999,0.0665,0.05,0.07,9
338,2,0.51,0.39,0.125,0.6565,0.262,0.1835,0.175,10
339,0,0.65,0.545,0.165,1.5659999999999998,0.6645,0.3455,0.415,16
340,0,0.645,0.49,0.19,1.3065,0.479,0.3565,0.345,18
341,0,0.48,0.4,0.125,0.759,0.2125,0.179,0.24,15
342,0,0.52,0.4,0.12,0.6515,0.261,0.2015,0.165,15
343,1,0.28,0.21,0.085,0.1075,0.0415,0.024,0.034,5
344,2,0.655,0.55,0.18,1.274,0.586,0.281,0.365,10
345,2,0.515,0.405,0.145,0.695,0.215,0.1635,0.2339999999999999,15
346,1,0.375,0.29,0.14,0.3,0.14,0.0625,0.0825,8
347,2,0.68,0.515,0.17,1.6115,0.8415,0.306,0.395,11
348,0,0.705,0.55,0.2,1.7095,0.633,0.4115,0.49,13
349,0,0.73,0.57,0.165,2.0165,1.0685,0.418,0.435,10
350,1,0.37,0.28,0.09,0.218,0.0995,0.0545,0.0615,7
351,2,0.495,0.38,0.12,0.474,0.1969999999999999,0.1065,0.1545,10
352,2,0.625,0.5,0.18,1.3705,0.645,0.303,0.3705,12
353,0,0.395,0.315,0.105,0.3515,0.1185,0.091,0.1195,16
354,0,0.51,0.4,0.14,0.8145,0.4589999999999999,0.1965,0.195,10
355,2,0.53,0.42,0.165,0.8945,0.319,0.239,0.245,11
356,1,0.58,0.49,0.195,1.3165,0.5305,0.254,0.41,18
357,2,0.565,0.465,0.175,0.995,0.3895,0.183,0.37,15
358,2,0.595,0.47,0.155,1.2015,0.492,0.3865,0.265,10
359,2,0.455,0.34,0.135,0.462,0.1675,0.158,0.12,9
360,1,0.53,0.43,0.13,0.7045,0.346,0.1415,0.1889999999999999,9
361,1,0.31,0.225,0.05,0.1445,0.0675,0.0385,0.045,6
362,1,0.435,0.34,0.12,0.396,0.1775,0.081,0.125,8
363,2,0.56,0.45,0.145,0.9355,0.425,0.1645,0.2725,11
364,2,0.325,0.24,0.085,0.173,0.0795,0.038,0.05,7
365,0,0.54,0.385,0.14,0.7655,0.3265,0.1159999999999999,0.2365,10
366,0,0.685,0.54,0.16,1.6675,0.833,0.3775,0.475,11
367,1,0.435,0.325,0.12,0.3995,0.1815,0.061,0.1125,8
368,1,0.495,0.38,0.145,0.515,0.175,0.098,0.212,13
369,1,0.525,0.4,0.145,0.6095,0.248,0.159,0.175,9
370,1,0.47,0.37,0.12,0.4705,0.1845,0.1055,0.155,12
371,1,0.455,0.355,0.08,0.452,0.2165,0.0995,0.125,9
372,1,0.385,0.295,0.085,0.2535,0.103,0.0575,0.085,7
373,0,0.465,0.375,0.135,0.6,0.2225,0.129,0.23,16
374,1,0.48,0.39,0.15,0.6275,0.276,0.134,0.185,13
375,2,0.61,0.48,0.165,1.244,0.6345,0.257,0.305,12
376,0,0.47,0.35,0.115,0.487,0.1955,0.127,0.155,8
377,2,0.58,0.445,0.135,0.8140000000000001,0.3775,0.1915,0.22,9
